candle_time,open,high,low,close,volume
2021-08-31 08:00:00,46982.91,48246.11,46700.0,47100.89,48645.52737
2021-09-01 08:00:00,47100.89,49156.0,46512.0,48810.52,49904.65528
2021-09-02 08:00:00,48810.51,50450.13,48584.06,49246.64,54410.770538
2021-09-03 08:00:00,49246.63,51000.0,48316.84,49999.14,59025.644157
2021-09-04 08:00:00,49998.0,50535.69,49370.0,49915.64,34664.65959
2021-09-05 08:00:00,49917.54,51900.0,49450.0,51756.88,40544.835873
2021-09-06 08:00:00,51756.88,52780.0,50969.33,52663.9,49249.667081
2021-09-07 08:00:00,52666.2,52920.0,42843.05,46863.73,123048.802719
2021-09-08 08:00:00,46868.57,47340.99,44412.02,46048.31,65069.3152
2021-09-09 08:00:00,46048.31,47399.97,45513.08,46395.14,50651.66002
2021-09-10 08:00:00,46395.14,47033.0,44132.29,44850.91,49048.26618
2021-09-11 08:00:00,44842.2,45987.93,44722.22,45173.69,30440.4081
2021-09-12 08:00:00,45173.68,46460.0,44742.06,46025.24,32094.28052
2021-09-13 08:00:00,46025.23,46880.0,43370.0,44940.73,65429.15056
2021-09-14 08:00:00,44940.72,47250.0,44594.44,47111.52,44855.85099
2021-09-15 08:00:00,47103.28,48500.0,46682.32,48121.41,43204.71174
2021-09-16 08:00:00,48121.4,48557.0,47021.1,47737.82,40725.08895
2021-09-17 08:00:00,47737.81,48150.0,46699.56,47299.98,34461.92776
2021-09-18 08:00:00,47299.98,48843.2,47035.56,48292.74,30906.47038
2021-09-19 08:00:00,48292.75,48372.83,46829.18,47241.75,29847.24349
2021-09-20 08:00:00,47241.75,47347.25,42500.0,43015.62,78003.524443
2021-09-21 08:00:00,43016.64,43639.0,39600.0,40734.38,84534.080485
2021-09-22 08:00:00,40734.09,44000.55,40565.39,43543.61,58349.05542
2021-09-23 08:00:00,43546.37,44978.0,43069.09,44865.26,48699.57655
2021-09-24 08:00:00,44865.26,45200.0,40675.0,42810.57,84113.426292
2021-09-25 08:00:00,42810.58,42966.84,41646.28,42670.64,33594.57189
2021-09-26 08:00:00,42670.63,43950.0,40750.0,43160.9,49879.99765
2021-09-27 08:00:00,43160.9,44350.0,42098.0,42147.35,39776.84383
2021-09-28 08:00:00,42147.35,42787.38,40888.0,41026.54,43372.2624
2021-09-29 08:00:00,41025.01,42590.0,40753.88,41524.28,33511.53487
2021-09-30 08:00:00,41524.29,44141.37,41410.17,43824.1,46381.22781
2021-10-01 08:00:00,43820.01,48495.0,43283.03,48141.61,66244.87492
2021-10-02 08:00:00,48141.6,48336.59,47430.18,47634.9,30508.98131
2021-10-03 08:00:00,47634.89,49228.08,47088.0,48200.01,30825.05601
2021-10-04 08:00:00,48200.01,49536.12,46891.0,49224.94,46796.49372
2021-10-05 08:00:00,49224.93,51886.3,49022.4,51471.99,52125.66793
2021-10-06 08:00:00,51471.99,55750.0,50382.41,55315.0,79877.545181
2021-10-07 08:00:00,55315.0,55332.31,53357.0,53785.22,54917.37766
2021-10-08 08:00:00,53785.22,56100.0,53617.61,53951.43,46160.25785
2021-10-09 08:00:00,53955.67,55489.0,53661.67,54949.72,55177.08013
2021-10-10 08:00:00,54949.72,56561.31,54080.0,54659.0,89237.836128
2021-10-11 08:00:00,54659.01,57839.04,54415.06,57471.35,52933.165751
2021-10-12 08:00:00,57471.35,57680.0,53879.0,55996.93,53471.2855
2021-10-13 08:00:00,55996.91,57777.0,54167.19,57367.0,55808.44492
2021-10-14 08:00:00,57370.83,58532.54,56818.05,57347.94,43053.336781
