candle_end_time,coin1_open,coin1_close,coin1_pct,coin2_open,coin2_close,coin2_pct,coin1_mom,coin2_mom,pos,trade_time,strategy_pct_adjust,coin1_net,coin2_net,strategy_net,total_capital_turn,week,normal_invest,normal_invest_all,normal_pct_adjust,normal_capital,total_capital,strategy_net_normal
2021-03-14 08:00:00,61188.38,58968.31,-0.0362827000350883,1922.35,1848.1,-0.0386246000988373,0.0902357228551349,0.0396719135003769,coin1,,-0.0362827000350883,1.4954324223707074,1.5088131801742226,1.548504120323042,120783.32138519728,6,1000.0,10000.0,-0.0386858279651239,961.314172034876,12389.88863332639,1.2389888633326391
2021-03-15 08:00:00,58976.08,55605.2,-0.0570324976245716,1848.1,1793.48,-0.0295546777771764,0.1373299789327278,0.1366318311162375,coin1,,-0.0570324976245716,1.410144176294143,1.4642206928082164,1.4601890627590786,113894.74689520813,0,,10000.0,,0.0,11683.262339277497,1.1683262339277496
2021-03-16 08:00:00,55605.2,56900.75,0.0232990799421637,1793.99,1805.12,0.0064901755246782,0.1454328229614987,0.1119447575751975,coin1,,0.0232990799421637,1.442999238187597,1.4737237421114078,1.4942101244629755,116548.3897081121,1,,10000.0,,0.0,11955.471602505591,1.1955471602505592
2021-03-17 08:00:00,56900.74,58912.97,0.0353636814980471,1805.01,1823.58,0.0102264669384861,0.2515041829062621,0.2306934368145772,coin1,,0.0353636814980471,1.494029003648787,1.4887947292365722,1.5470508953956417,120669.96984086004,2,,10000.0,,0.0,12378.261092415549,1.2378261092415548
2021-03-18 08:00:00,58912.97,57648.16,-0.0214691264079879,1823.58,1776.08,-0.0260476644841465,0.2457229713245514,0.2294699534123869,coin1,,-0.0214691264079879,1.4619535061122513,1.4500151036436522,1.5138370641628018,118079.29100469856,3,,10000.0,,0.0,12112.5106403114,1.21125106403114
2021-03-19 08:00:00,57641.0,58030.01,0.0066238020432916,1775.92,1809.1,0.0185915048871672,0.2586099162307731,0.2406987031334653,coin1,,0.0066238020432916,1.471637196733235,1.476973066529509,1.523864421201614,118861.42485372588,4,,10000.0,,0.0,12192.741513040086,1.2192741513040086
2021-03-20 08:00:00,58030.01,58102.28,0.0012453901007425,1809.01,1806.1,-0.0016582831242053,0.2872810544921687,0.272636311109232,coin1,,0.0012453901007425,1.4734699591299312,1.4745238270183776,1.5257622268666522,119009.45369559887,5,,10000.0,,0.0,12207.92623262134,1.220792623262134
2021-03-21 08:00:00,58100.02,57351.56,-0.0129206633543468,1806.57,1782.98,-0.0128010630640605,0.1565838889725801,0.1357573286789906,coin1,,-0.0129206633543468,1.45443174982527,1.4556483545192551,1.5060483667745297,117471.77260841332,6,1000.0,11000.0,-0.0153439077410543,984.6560922589456,13034.847819773884,1.1849861654339895
2021-03-22 08:00:00,57351.56,54083.25,-0.0569872903195658,1783.23,1680.97,-0.0572132048592805,0.1164848118264307,0.1306111193317101,coin1,,-0.0593448220937669,1.3715476254479833,1.3723660470090704,1.416672194383687,110500.4311619276,0,,11000.0,,0.0,12261.297094890078,1.1146633722627344
2021-03-23 08:00:00,54083.25,54340.89,0.004763766970365,1681.17,1668.08,-0.0076681915798616,0.0792764636379759,0.0640368950494039,coin2,2021-03-23 08:00:00,-0.0101490211009119,1.378081358724375,1.3618424812429075,1.4022943583898118,109378.95995440532,1,,11000.0,,0.0,12136.856931949487,1.103350630177226
2021-03-24 08:00:00,54342.8,52303.65,-0.0374900006238395,1668.2,1581.84,-0.0517001582657906,0.081232742569421,0.0276826725050836,coin1,2021-03-24 08:00:00,-0.0399240201534336,1.3264170877260966,1.291435009429572,1.3463091301644106,105012.11215282402,2,,11000.0,,0.0,11652.304811198996,1.059300437381727
2021-03-25 08:00:00,52303.66,51293.78,-0.0193078303330647,1581.88,1585.74,0.0024654832347139,0.0521431966181289,0.0375774548357337,coin1,,-0.0193078303330647,1.3008068516454032,1.2946190207940436,1.3203148219033405,102984.55610846054,3,,11000.0,,0.0,11427.324086915214,1.0388476442650194
2021-03-26 08:00:00,51293.78,55025.59,0.0727536555114478,1585.83,1698.84,0.0713231677324151,0.1256774449595148,0.0293816463174478,coin1,,0.0727536555114478,1.395445305216944,1.3869553503637122,1.4163725516227543,110477.05902657486,4,,11000.0,,0.0,12258.703686952314,1.114427607904756
2021-03-27 08:00:00,55025.59,55817.14,0.0143851251753956,1698.84,1712.63,0.0081173035718491,0.0950603030109815,-0.0078382073504194,coin1,,0.0143851251753956,1.4155189606079082,1.3982136879832148,1.4367472480728425,112066.28534968173,5,,11000.0,,0.0,12435.04667397721,1.1304587885433826
2021-03-28 08:00:00,55817.14,55777.63,-0.00070784708783,1712.52,1687.01,-0.0149594483338492,0.0649632258950185,-0.0797357597180855,coin1,,-0.00070784708783,1.4145169896338736,1.377297182558149,1.4357302507173464,111986.959555953,6,1000.0,12000.0,-0.0031998474691571,996.8001525308428,13423.044714932848,1.1185870595777374
2021-03-29 08:00:00,55777.65,57635.47,0.0333079766924482,1687.16,1816.74,0.0768993663345207,0.0501228944419644,-0.0287461708304151,coin1,,0.0333079766924482,1.4616316885556706,1.4832104631511918,1.4835515204448826,115717.01859470084,0,,12000.0,,0.0,13870.13917543952,1.1558449312866268
2021-03-30 08:00:00,57635.46,58746.57,0.0192780591535037,1816.76,1840.46,0.0130563536884749,0.0518334392986843,0.0252573644101787,coin1,,0.0192780591535037,1.4898091107082827,1.5025757835525404,1.5121515144132895,117947.81812423658,1,,12000.0,,0.0,14137.528538930974,1.1781273782442478
2021-03-31 08:00:00,58746.57,58740.55,-0.0001024740678476,1840.41,1919.37,0.0428751507775229,0.0167446267436297,0.0512602832761888,coin1,,-0.002602217882678,1.489656443908392,1.5669989468270102,1.5082165667011649,117640.89220269084,2,,12000.0,,0.0,14100.739609350096,1.175061634112508
2021-04-01 08:00:00,58739.46,58720.44,-0.000342352940175,1919.37,1968.05,0.0253624887332823,0.0261914531754725,0.1143479984145858,coin2,2021-04-01 08:00:00,0.0228054750456681,1.4891464556449692,1.6067419399609757,1.5426121619765314,120323.74863416945,3,,12000.0,,0.0,14422.313674636594,1.201859472886383
